,Predicted probability,Observed probability,Observed probability histogram,Observed probability bin edges,Delta,Predicted probability interp,Observed probability interp
18,0.017510373932570933,0.010130421745924933,,,0.008532212020834318,0.18260889464119798,0.2313345236121127
19,0.017913898934124317,0.010457058231581051,,,0.00851007414644489,0.1927001428555042,0.2451524589025097
20,0.018304474067751486,0.010775990855944495,,,0.007011124658483303,0.20279139106981037,0.25870587139142653
21,0.018334535396875795,0.010800650330813122,,,0.003543537442360911,0.21288263928411658,0.2719794131269683
22,0.018708327076986997,0.01110860207091513,,,0.008021087599199284,0.22297388749842278,0.28496101565832654
23,0.018782267439126255,0.01116980833307879,,,0.028701058722223283,0.23306513571272897,0.29764142660547077
24,0.018874155220942712,0.011246003707577668,,,0.055353146787295526,0.24315638392703517,0.3100138087994617
25,0.018919742453982535,0.011283860068674767,,,0.0054756112372164045,0.2532476321413414,0.32207339291902715
26,0.018958622196613484,0.01131617488806591,,,0.036776732189601424,0.26333888035564756,0.333817176034389
27,0.01909691560140736,0.011431329042052352,,,0.006592313274144557,0.27343012856995375,0.34524365966952353
28,0.01912222522403617,0.01145243958780584,,,0.008433135516316081,0.28352137678426,0.3563526219737182
29,0.019174878046842925,0.01149639220894172,,,0.006933097067401528,0.29361262499856616,0.36714491940000515
30,0.019273354912261897,0.011578724928353878,,,0.049456106611240225,0.30370387321287234,0.377622313957485
31,0.019290618562323614,0.011593175541842693,,,0.008547252400300742,0.3137951214271786,0.38778732266380644
32,0.019557227425888835,0.011816988282983054,,,0.007972940759296887,0.32388636964148476,0.3976430862939766
33,0.019613982512729056,0.011864789280387478,,,0.008256874616160537,0.33397761785579094,0.4071932549185988
34,0.01973735177885083,0.01196888325267409,,,0.008872014665534333,0.3440688660700972,0.41644188806132376
35,0.019783354812322407,0.012007764622828154,,,0.007503480413236674,0.35416011428440336,0.4253933675920679
36,0.02004678197257226,0.012231097187907825,,,0.02773408191304938,0.36425136249870954,0.4340523217175555
37,0.02023411666351771,0.012390626146475459,,,0.007601970979797423,0.3743426107130158,0.44242355864070804
38,0.02054442124050815,0.012656156442666044,,,0.008392527886387668,0.38443385892732196,0.45051200864072694
39,0.02054642934362183,0.012657879981372466,,,0.06039782830501894,0.39452510714162814,0.45832392821388
40,0.020785679961863424,0.0128637017278187,,,0.006270982131477476,0.4046163553559343,0.4658735565782397
41,0.020918692456026067,0.012978535166792149,,,0.0034934354329244632,0.41470760357024056,0.47317770572561213
42,0.021100573592130245,0.013136025243296046,,,0.01098511881707842,0.42479885178454674,0.48025241774237437
43,0.021161731035122422,0.013189101953478666,,,0.014648635094772655,0.4348900999988529,0.4871129871901938
44,0.021164099133914926,0.01319115837461804,,,0.004222891131204554,0.44498134821315916,0.4937739965413638
45,0.021221455843260517,0.013240993804443879,,,0.006148221953128918,0.45507259642746534,0.50024935445732
46,0.02125177350708629,0.01326735736304463,,,0.005959545203327532,0.4651638446417715,0.5065523358346933
47,0.02125689750659876,0.013271814545375848,,,0.01995811331522146,0.47525509285607775,0.5126956228169771
48,0.021431175907748123,0.013423665209054358,,,0.008543299369012436,0.48534634107038394,0.5186913461871152
49,0.021512392947146464,0.013494597445851353,,,0.0008465181837162827,0.4954375892846901,0.5245511267289187
50,0.021532212842579446,0.013511923547089744,,,0.00018988300833455707,0.5055288374989964,0.5302861162827222
51,0.021754560722011318,0.013706725784165319,,,0.00840349049413791,0.5156200857133025,0.5359070383307437
52,0.021825147390387878,0.013768732743573153,,,0.006897886699309241,0.5257113339276087,0.5414242280363922
53,0.021914090355628746,0.013846977604599298,,,0.07316438175763051,0.5358025821419149,0.5468476717342421
54,0.02208166828976399,0.013994739850597848,,,0.006233324399870677,0.5458938303562211,0.5521870459276998
55,0.0221944468477715,0.014094432337604434,,,0.008318951828648835,0.5559850785705274,0.5574517559028656
56,0.022244952618598712,0.0141391426929256,,,0.004792993278384672,0.5660763267848336,0.5626509741126167
57,0.02260660646740731,0.014460465780819831,,,0.042606244646376634,0.5761675749991397,0.5677936785269859
58,0.022617958403487015,0.0144705848335841,,,0.008537811510738291,0.5862588232134459,0.5728886911866784
59,0.022736200686851893,0.014576104451089922,,,0.007647466373397638,0.5963500714277521,0.5779447172381349
60,0.022889546386993587,0.014713273305909436,,,0.0025970939441022356,0.6064413196420583,0.5829703847729582
61,0.02293356478602593,0.0147527152538105,,,0.005239516934101296,0.6165325678563646,0.5879742858438384
62,0.02293511463630926,0.01475410451620629,,,0.041188036793158744,0.6266238160706707,0.59296501908568
63,0.022967261418577634,0.014782928760865066,,,0.0061794324587813865,0.6367150642849769,0.5979512344369854
64,0.023065204525655858,0.014870847089739181,,,0.007186454024501687,0.6468063124992831,0.6029416193217728
