,Predicted probability,Observed probability,Observed probability histogram,Observed probability bin edges,Delta,Predicted probability interp,Observed probability interp
1089,0.07930174023587644,0.08512202811981484,,,0.0004887541991716038,,
1090,0.07932031820802943,0.08514251795677497,,,9.420254595449151e-05,,
1091,0.07967143362785956,0.08552978716285442,,,3.0833542852271023e-07,,
1092,0.07988004710278929,0.08575989950527907,,,0.000472934709190187,,
1093,0.07989517614598851,0.08577658821483558,,,0.045403139185252406,,
1094,0.08015939921262116,0.08606806174484449,,,0.00798965439156174,,
1095,0.08070850869453394,0.08667387232533719,,,0.006524392444863136,,
1096,0.0808537686640568,0.08683414735894657,,,0.002870420932265638,,
1097,0.08254904144776076,0.08870512765224658,,,0.00013849874181259825,,
1098,0.08257015361908282,0.0887284334304077,,,0.0002702791360201795,,
1099,0.08267838825851404,0.08884791598828579,,,0.0005903495543191362,,
1100,0.08271329347637879,0.08888644935130097,,,0.00015809338415762042,,
1101,0.08275430747624801,0.08893172691981366,,,0.0005250535390893818,,
1102,0.0829026270175508,0.0890954690086978,,,0.014952949805749127,,
1103,0.08313005045282595,0.08934655293142835,,,0.000481818212578089,,
1104,0.08332909762941643,0.08956632084912153,,,1.1260874287488676e-05,,
1105,0.08335848740019636,0.0895987710656918,,,0.0020818780766744815,,
1106,0.08365894817508401,0.08993053416400298,,,0.000545597371531592,,
1107,0.08382247942828935,0.09011111329369248,,,0.0002452041848816089,,
1108,0.08397522418370784,0.09027978843712459,,,0.003681924446713891,,
1109,0.08399134194792601,0.09029758758306128,,,0.055583479996584306,,
1110,0.08407275992877694,0.09038750011360941,,,0.0005365812676751958,,
1111,0.08413934315181448,0.09046103155609775,,,0.00342614073163805,,
1112,0.0844966989827014,0.09085570060473647,,,0.0023004985797391297,,
1113,0.08492356344642682,0.09132718379800331,,,0.026850270027072742,,
1114,0.08510439734464303,0.09152693525803157,,,0.0063216884042832655,,
1115,0.08528155548546079,0.09172263538414194,,,0.03485659580716827,,
1116,0.0857627630214629,0.09225425227105377,,,0.0002492710243611196,,
1117,0.08607652439009583,0.09260091683495897,,,0.03020183316682945,,
1118,0.08619821740878686,0.09273537878523985,,,0.0019704768688926233,,
1119,0.08662946390914428,0.09321190778504929,,,0.002641751918815216,,
1120,0.0867007807510577,0.09329071809281309,,,0.00356205201822557,,
1121,0.08687547879935553,0.09348377805488894,,,0.00393629847447019,,
1122,0.08724514095186031,0.093892321589513,,,9.389230217216049e-05,,
1123,0.08759994194598164,0.0942844757362361,,,2.8303193420065043e-05,,
1124,0.0880171961905275,0.09474570156603423,,,0.005505449445028177,,
1125,0.0887111748811118,0.09551291692106723,,,8.032399779844823e-05,,
1126,0.0887952059112288,0.09560582454356292,,,0.00012448845686330312,,
1127,0.0890811285127241,0.09592196442085354,,,0.000223719946185863,,
1128,0.0892348438293955,0.09609193376638547,,,0.000654792005268634,,
1129,0.08960024934028321,0.09649600243690926,,,0.000583477521162612,,
1130,0.08970401506213188,0.0966107538307257,,,0.00876668797122604,,
1131,0.0902771139621511,0.09724457682790133,,,0.03412046155163306,,
1132,0.09100170727464885,0.09804606670491278,,,0.03392538729415395,,
1133,0.09132634766963599,0.09840520237733652,,,0.0013303683693189905,,
1134,0.09166053695848642,0.09877492927842257,,,0.016150118782044198,,
1135,0.09168737690802686,0.0988046245959533,,,0.00814114195729887,,
1136,0.09178178402307557,0.0989090766417523,,,0.0007577056855119224,,
1137,0.09232506730784862,0.09951020845017855,,,0.00097302755408335,,
1138,0.09255702355574125,0.09976688553280855,,,0.03046383078365822,,
1139,0.09286694569585152,0.10010985839999342,,,0.0030590305025617326,,
1140,0.09309212339251283,0.10035906424621832,,,0.013139803998492683,,
1141,0.09331145840913002,0.10060181582813676,,,0.02085262076141159,,
1142,0.09429686548856353,0.10169256989247288,,,0.0013233381799502286,,
1143,0.09443396650339786,0.10184434640089213,,,0.0008374241561116547,,
1144,0.09615322173065377,0.10374800873358003,,,0.004977178262007831,,
1145,0.09703529240387876,0.10472495566728124,,,0.0004936349275574958,,
1146,0.09793020873975988,0.10571631002100901,,,0.004218177324677663,,
1147,0.09821031690849413,0.10602664001932771,,,0.017653874009538773,,
1148,0.09834432891984501,0.10617511720065109,,,0.0034428184175051557,,
1149,0.0985382989329322,0.10639003124123436,,,0.00021578092819773964,,
1150,0.09863949780496928,0.10650216041350791,,,0.039804841107645816,,
1151,0.09931918616720203,0.10725531878190342,,,6.878419960876236e-05,,
1152,0.09981374482633021,0.10780339921789195,,,0.0011137016890201412,,
1153,0.09986088772864465,0.10785564674076709,,,0.013071983887018912,,
1154,0.1004666677675583,0.10852706284248337,,,0.00016415997684904315,,
1155,0.10054856735234019,0.10861784222502524,,,0.002039974498210806,,
1156,0.10121092647945185,0.10935206843675072,,,0.013242338579160018,,
1157,0.10131191406156825,0.10946402145145784,,,0.008060395074925064,,
1158,0.10161291232254077,0.10979771534726701,,,0.008483641990386759,,
1159,0.10166902001676681,0.1098599197716088,,,0.0004439281630168601,,
1160,0.10181778565382005,0.11002485362944858,,,0.005742953450720734,,
1161,0.1018709333794392,0.11008377869559005,,,5.141478392700627e-06,,
1162,0.10243885019003096,0.11071346642580093,,,0.0005842207788410159,,
1163,0.10277993258106399,0.11109167932771857,,,0.003065897311936072,,
1164,0.10313401167976965,0.111484328830871,,,0.00835031715110135,,
1165,0.10348780823930959,0.11187669035157555,,,0.041192389852772515,,
1166,0.1035996266081578,0.11200070252170413,,,0.012379572425436636,,
1167,0.10378680145124386,0.11220829440480495,,,0.002970045974444502,,
1168,0.10386166120654372,0.11229132182716595,,,0.002529425087801185,,
1169,0.10400539258552799,0.1124507383318275,,,0.000647015754718594,,
1170,0.10405680311888132,0.11250776019573494,,,0.02160295048741201,,
1171,0.1043312359653843,0.1128121555774021,,,0.0007902056852310269,,
1172,0.10435616400054548,0.11283980599093224,,,0.0023684578888717445,,
1173,0.10439518115348267,0.1128830844344968,,,0.00014020369810141542,,
1174,0.10492477954930302,0.11347055302238596,,,2.0555283886114495e-05,,
1175,0.10502499247229358,0.11358172258777,,,0.0027331631235648635,,
1176,0.1060763111163533,0.11474810324362972,,,5.1160073942901896e-05,,
1177,0.10640770093764673,0.11511580623953199,,,0.023628326147875356,,
1178,0.10694191848621826,0.1157086064574443,,,0.00013669263117122021,,
